代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
002119,康强电子,0.5387,33.17,32.65,-1.57,负
300784,利安科技,0.5385,46.45,46.45,0.0,平
688691,灿芯股份,0.5379,100.44,100.13,-0.31,负
002849,威星智能,0.5376,17.74,17.74,0.0,平
002988,豪美新材,0.5373,24.7,24.58,-0.49,负
603893,瑞芯微,0.5371,175.95,175.53,-0.24,负
688082,盛美上海,0.5366,361.2,362.3,0.3,胜
688418,震有科技,0.5366,45.72,45.27,-0.98,负
300504,天邑股份,0.5353,18.58,18.45,-0.7,负
603915,国茂股份,0.5349,15.83,15.82,-0.06,负
301596,瑞迪智驱,0.5342,56.38,56.24,-0.25,负
603279,景津装备,0.5328,13.16,13.05,-0.84,负
688515,裕太微-U,0.5325,199.0,200.0,0.5,胜
300992,泰福泵业,0.5323,25.46,25.21,-0.98,负
600460,士兰微,0.5322,40.83,40.5,-0.81,负
301626,苏州天脉,0.5319,322.64,322.64,0.0,平
688798,艾为电子,0.5318,71.46,71.09,-0.52,负
300976,达瑞电子,0.5318,89.06,87.9,-1.3,负
301180,万祥科技,0.5298,14.1,13.96,-0.99,负
300787,海能实业,0.5294,9.67,9.56,-1.14,负
301559,中集环科,0.529,13.3,13.29,-0.08,负
603937,丽岛新材,0.5285,13.62,13.65,0.22,胜
000410,沈阳机床,0.5281,5.08,5.08,0.0,平
688458,美芯晟,0.5256,40.96,40.98,0.05,胜
000737,北方铜业,0.5254,14.68,14.45,-1.57,负
601002,晋亿实业,0.5254,4.74,4.68,-1.27,负
688028,沃尔德,0.5251,113.88,112.67,-1.06,负
688361,中科飞测,0.5248,251.71,249.17,-1.01,负
301006,迈拓股份,0.5245,13.7,13.56,-1.02,负
688536,思瑞浦,0.5243,340.58,339.2,-0.41,负
603331,百达精工,0.5237,11.58,11.56,-0.17,负
688018,乐鑫科技,0.5231,122.4,122.5,0.08,胜
002475,立讯精密,0.5231,67.32,67.0,-0.48,负
600202,哈空调,0.5224,4.82,4.8,-0.41,负
688795,摩尔线程-U,0.522,639.0,635.0,-0.63,负
301577,美信科技,0.5213,94.92,93.89,-1.09,负
688279,峰岹科技,0.521,210.37,211.49,0.53,胜
301268,铭利达,0.5207,16.24,16.19,-0.31,负
603277,银都股份,0.5204,10.25,10.46,2.05,胜
600768,宁波富邦,0.5198,15.53,15.41,-0.77,负
688610,埃科光电,0.5192,239.7,237.31,-1.0,负
688498,源杰科技,0.5191,1612.0,1600.0,-0.74,负
603187,海容冷链,0.5185,12.2,12.11,-0.74,负
300057,万顺新材,0.5174,9.22,9.14,-0.87,负
688056,莱伯泰科,0.5169,66.57,66.57,0.0,平
002444,巨星科技,0.5169,30.16,29.83,-1.09,负
002996,顺博合金,0.5168,6.35,6.3,-0.79,负
300193,佳士科技,0.5167,8.41,8.37,-0.48,负
002369,卓翼科技,0.5166,6.02,5.96,-1.0,负
