代码,名称,最新价,综合得分,资金得分,趋势得分,启动得分,板块得分,位置得分,分析师得分,多日得分,技术面得分,行业内得分,融资得分,加速度得分,占比趋势得分,涨跌幅,换手率,量比,总市值,触发信号
603124,江南新材,201.0,0.2769,0.101,0.506,0.435,0.745,0.383,0.5,0.233,0.5,0.115,0.131,0.7,0.0,-4.88,8.58,1.18,292.94784999,
300100,双林股份,30.2,0.2768,0.087,0.367,0.447,0.528,0.758,0.5,0.103,0.5,0.083,0.416,0.7,0.0,-4.7,3.22,1.22,172.73884788,
002115,三维通信,11.73,0.2765,0.197,0.679,0.324,0.682,0.287,0.5,0.07,0.5,0.091,0.102,0.7,0.0,0.34,5.92,1.38,95.12928324,
688698,伟创电气,56.95,0.2764,0.256,0.324,0.275,0.528,0.615,0.5,0.111,0.5,0.367,0.159,0.7,0.0,-4.65,2.97,1.12,121.88596979,
300539,横河精密,21.8,0.2763,0.159,0.454,0.404,0.528,0.445,0.5,0.163,0.5,0.25,0.229,0.7,0.0,-1.71,3.71,1.36,58.44594432,
300035,中科电气,17.15,0.2763,0.103,0.551,0.379,0.787,0.369,0.5,0.261,0.5,0.095,0.125,0.7,0.0,-1.27,5.13,1.2,117.55067408,
603122,合富中国,11.61,0.2761,0.372,0.409,0.201,0.654,0.18,0.5,0.2,0.5,0.207,0.294,0.7,0.0,-0.43,2.6,1.25,46.21391069,
600480,凌云股份,9.43,0.2761,0.149,0.365,0.403,0.528,0.579,0.5,0.169,0.5,0.192,0.339,0.7,0.0,-4.65,2.48,1.59,115.25603731,
688099,晶晨股份,96.92,0.276,0.152,0.499,0.431,0.528,0.46,0.5,0.082,0.5,0.229,0.151,0.7,0.0,0.17,3.8,1.05,410.28173915,
600201,生物股份,11.92,0.2758,0.335,0.454,0.207,0.206,0.237,0.5,0.295,0.5,0.5,0.376,0.7,0.0,1.27,2.16,1.19,132.52034086,
688322,奥比中光-W,128.04,0.2749,0.088,0.485,0.515,0.528,0.532,0.5,0.017,0.5,0.075,0.368,0.7,0.0,-4.25,8.73,1.08,513.6250849,
301413,安培龙,76.2,0.2748,0.166,0.506,0.352,0.528,0.668,0.5,0.046,0.5,0.125,0.065,0.7,0.0,-5.08,8.34,1.18,97.47700596,
002943,宇晶股份,48.53,0.2748,0.086,0.569,0.417,0.528,0.716,0.5,0.035,0.5,0.055,0.083,0.7,0.0,-6.22,8.62,1.47,129.49550498,
002006,精工科技,14.54,0.2746,0.321,0.395,0.2,0.528,0.473,0.5,0.149,0.5,0.268,0.164,0.7,0.0,-2.61,2.84,1.79,75.57796618,
600745,*ST闻泰,16.28,0.2745,0.129,0.391,0.493,0.528,0.577,0.5,0.02,0.5,0.305,0.087,0.7,0.0,-3.67,4.0,1.03,202.63230563,
603638,艾迪精密,23.67,0.2743,0.255,0.393,0.21,0.528,0.432,0.5,0.354,0.5,0.25,0.246,0.7,0.0,-5.24,2.81,1.69,202.82636622,
000792,盐湖股份,30.69,0.2741,0.248,0.552,0.367,0.78,0.192,0.5,0.022,0.5,0.091,0.088,0.7,0.0,3.16,2.6,1.16,1623.98361283,
002472,双环传动,42.11,0.274,0.11,0.515,0.517,0.528,0.55,0.5,0.032,0.5,0.033,0.074,0.7,0.0,-3.81,6.08,1.22,357.90741458,
600216,浙江医药,11.71,0.2738,0.209,0.616,0.322,0.528,0.259,0.5,0.128,0.5,0.224,0.182,0.7,0.0,1.65,3.06,1.58,112.60778053,
688798,艾为电子,69.29,0.2735,0.134,0.366,0.392,0.528,0.535,0.5,0.135,0.5,0.438,0.234,0.7,0.0,-2.45,3.19,1.23,161.53483188,
603009,北特科技,40.74,0.2733,0.249,0.461,0.217,0.528,0.65,0.5,0.069,0.5,0.175,0.156,0.7,0.0,-4.52,3.81,1.43,141.11921063,
603920,世运电路,55.93,0.2733,0.012,0.519,0.527,0.528,0.754,0.5,0.008,0.5,0.154,0.025,0.7,0.0,-4.39,5.17,1.24,403.0272829,
603520,司太立,9.3,0.2732,0.188,0.414,0.327,0.528,0.461,0.5,0.202,0.5,0.265,0.274,0.7,0.0,-2.31,3.94,1.16,40.77211893,
300493,润欣科技,14.38,0.273,0.167,0.359,0.332,0.717,0.466,0.5,0.2,0.5,0.238,0.275,0.7,0.0,-1.51,3.08,1.11,73.70052656,
300132,青松股份,6.02,0.2729,0.323,0.523,0.222,0.43,0.228,0.5,0.127,0.5,0.429,0.136,0.7,0.0,0.5,3.4,1.23,31.09816934,
688608,恒玄科技,155.9,0.2729,0.05,0.362,0.397,0.528,0.552,0.5,0.238,0.5,0.171,0.849,0.7,0.0,-2.13,2.83,1.35,263.78953332,
920220,朗信电气,58.21,0.2728,0.282,0.468,0.38,0.528,0.705,0.5,0.261,0.5,0.383,0.41,0.7,0.0,-5.32,15.23,1.0,38.53866511,P29_high_turnover
301408,华人健康,15.33,0.2725,0.278,0.647,0.336,0.283,0.179,0.5,0.146,0.5,0.143,0.205,0.7,0.0,-0.39,6.23,1.42,61.321533,
605222,起帆电缆,24.4,0.2725,0.137,0.279,0.349,0.829,0.546,0.5,0.189,0.5,0.111,0.459,0.7,0.0,-2.52,2.35,1.15,100.74946367,
002568,百润股份,15.46,0.2725,0.227,0.558,0.198,0.234,0.674,0.5,0.054,0.5,0.5,0.056,0.7,0.0,-6.53,4.8,1.57,161.03502417,
688668,鼎通科技,406.07,0.2725,0.212,0.469,0.261,0.528,0.745,0.5,0.02,0.5,0.157,0.044,0.7,0.0,-5.53,4.83,1.07,565.53614978,
300446,航天智造,15.46,0.2721,0.237,0.321,0.306,0.528,0.437,0.5,0.25,0.5,0.308,0.23,0.7,0.0,-1.59,2.84,1.05,130.70040316,
300098,高新兴,4.99,0.2717,0.158,0.538,0.435,0.528,0.15,0.5,0.154,0.5,0.373,0.208,0.7,0.0,0.6,3.16,1.37,86.71533552,
300521,爱司凯,27.2,0.2717,0.137,0.571,0.279,0.528,0.666,0.5,0.116,0.5,0.125,0.111,0.7,0.0,-5.85,8.0,1.48,40.72656,
603728,鸣志电器,60.3,0.2715,0.174,0.394,0.362,0.528,0.655,0.5,0.081,0.5,0.176,0.126,0.7,0.0,-5.57,3.21,1.35,252.5861475,
002249,大洋电机,8.07,0.2713,0.118,0.459,0.525,0.528,0.298,0.5,0.105,0.5,0.294,0.179,0.7,0.0,-0.49,2.68,1.47,198.98632472,
000688,国城矿业,38.47,0.2712,0.251,0.552,0.268,0.843,0.272,0.5,0.044,0.5,0.121,0.025,0.7,0.0,1.61,3.5,1.04,455.8955465,
603843,*ST正平,8.76,0.2711,0.31,0.35,0.226,0.647,0.408,0.5,0.193,0.5,0.125,0.211,0.7,0.0,-0.45,2.55,1.0,61.28699556,
000599,青岛双星,4.62,0.271,0.291,0.319,0.24,0.528,0.29,0.5,0.285,0.5,0.4,0.295,0.7,0.0,-1.07,2.0,1.23,112.8718261,
300601,康泰生物,11.44,0.2709,0.245,0.418,0.294,0.528,0.17,0.5,0.326,0.5,0.3,0.35,0.7,0.0,-0.69,2.5,1.4,127.77682186,
300660,江苏雷利,28.93,0.2708,0.107,0.38,0.499,0.528,0.58,0.5,0.064,0.5,0.235,0.113,0.7,0.0,-5.12,2.66,1.71,168.16358422,
603626,科森科技,20.84,0.2707,0.046,0.556,0.588,0.528,0.365,0.5,0.037,0.5,0.156,0.184,0.7,0.0,-1.61,6.51,1.31,115.6369274,
002703,浙江世宝,15.45,0.2704,0.229,0.58,0.206,0.528,0.479,0.5,0.134,0.5,0.142,0.149,0.7,0.0,-1.21,6.35,1.32,127.09670333,
002560,通达股份,8.25,0.2701,0.233,0.662,0.236,0.829,0.15,0.5,0.079,0.5,0.125,0.109,0.7,0.0,0.49,6.75,1.26,60.65991319,
300129,泰胜风能,9.22,0.27,0.17,0.488,0.475,0.164,0.309,0.5,0.137,0.5,0.412,0.286,0.7,0.0,0.11,2.94,1.35,102.23626919,
002151,北斗星通,33.26,0.27,0.222,0.584,0.242,0.528,0.376,0.5,0.082,0.5,0.312,0.127,0.7,0.0,-0.18,4.23,1.37,180.57216966,
688676,金盘科技,92.35,0.27,0.143,0.634,0.239,0.829,0.55,0.5,0.024,0.5,0.042,0.042,0.7,0.0,-0.16,5.02,1.3,424.61086015,
300708,聚灿光电,8.23,0.2694,0.108,0.455,0.362,0.528,0.547,0.5,0.141,0.5,0.3,0.239,0.7,0.0,-2.37,4.15,1.27,77.27271635,
000155,川能动力,13.13,0.2693,0.25,0.509,0.302,0.528,0.215,0.5,0.097,0.5,0.4,0.145,0.7,0.0,2.02,2.27,1.21,242.4019033,
000908,景峰医药,5.62,0.269,0.109,0.382,0.449,0.528,0.628,0.5,0.087,0.5,0.204,0.133,0.7,0.0,-3.6,3.51,1.18,98.88663705,
301216,万凯新材,24.75,0.2689,0.196,0.485,0.243,0.528,0.362,0.5,0.274,0.5,0.219,0.354,0.7,0.0,1.73,2.59,1.05,143.59917751,
002471,中超控股,6.66,0.2686,0.207,0.504,0.243,0.829,0.48,0.5,0.043,0.5,0.083,0.076,0.7,0.0,-3.34,6.1,1.17,91.159416,
600530,交大昂立,5.54,0.2685,0.181,0.241,0.433,0.612,0.407,0.5,0.229,0.5,0.143,0.372,0.7,0.0,-4.81,2.0,1.11,42.930568,
603212,赛伍技术,13.03,0.2683,0.073,0.494,0.489,0.808,0.403,0.5,0.044,0.5,0.097,0.078,0.7,0.0,-8.69,9.03,1.12,57.00502987,
002121,科陆电子,5.78,0.2677,0.041,0.54,0.448,0.829,0.446,0.5,0.075,0.5,0.056,0.142,0.7,0.0,-1.7,4.38,2.03,95.99520457,
603809,豪能股份,9.37,0.2675,0.247,0.24,0.314,0.528,0.519,0.5,0.191,0.5,0.317,0.163,0.7,0.0,-4.19,2.09,1.07,86.23106122,
601137,博威合金,24.7,0.2673,0.083,0.504,0.378,0.745,0.624,0.5,0.069,0.5,0.038,0.046,0.7,0.0,-4.04,5.99,1.17,226.87999157,
002382,蓝帆医疗,5.36,0.267,0.184,0.387,0.383,0.171,0.529,0.5,0.214,0.5,0.229,0.398,0.7,0.0,-4.29,2.74,1.56,54.00686291,
000403,派林生物,9.73,0.2668,0.126,0.45,0.616,0.528,0.15,0.5,0.098,0.5,0.05,0.3,0.7,0.0,-9.99,3.5,2.18,92.47366566,
300582,英飞特,14.09,0.2667,0.182,0.549,0.251,0.528,0.443,0.5,0.118,0.5,0.325,0.105,0.7,0.0,-1.74,6.64,1.31,42.06379116,
000975,山金国际,21.28,0.2666,0.232,0.475,0.211,0.738,0.217,0.5,0.199,0.5,0.286,0.271,0.7,0.0,1.0,2.5,1.23,589.99383838,
300990,同飞股份,100.21,0.2663,0.082,0.689,0.272,0.528,0.68,0.5,0.092,0.5,0.031,0.057,0.7,0.0,0.98,12.21,1.26,171.57614484,
002902,铭普光磁,36.14,0.2663,0.061,0.338,0.461,0.528,0.658,0.5,0.905,0.5,0.098,0.946,0.595,0.0,-1.71,22.51,1.07,84.93227501,P29_high_turnover
600645,中源协和,17.99,0.266,0.149,0.396,0.416,0.528,0.406,0.5,0.139,0.5,0.2,0.296,0.7,0.0,-1.96,2.82,1.64,84.18400531,
002400,省广集团,7.06,0.266,0.178,0.607,0.346,0.759,0.198,0.5,0.069,0.5,0.067,0.13,0.7,0.0,1.0,4.11,1.22,123.07960124,
605555,德昌股份,13.65,0.2658,0.179,0.373,0.343,0.276,0.334,0.5,0.239,0.5,0.4,0.612,0.7,0.0,-7.27,2.58,1.52,66.07542396,
