代码,名称,类型
sz.000932,华菱钢铁,个股
sz.000933,神火股份,个股
sz.000935,四川双马,个股
sz.000936,华西股份,个股
sz.000937,冀中能源,个股
sz.000938,紫光股份,个股
sz.000948,南天信息,个股
sz.000949,新乡化纤,个股
sz.000950,重药控股,个股
sz.000951,中国重汽,个股
sz.000952,广济药业,个股
sz.000953,中哲精化,个股
sz.000955,欣龙控股,个股
sz.000957,中通客车,个股
sz.000958,电投产融,个股
sz.000959,首钢股份,个股
sz.000960,锡业股份,个股
sz.000962,东方钽业,个股
sz.000963,华东医药,个股
sz.000965,天保基建,个股
sz.000966,长源电力,个股
sz.000967,盈峰环境,个股
sz.000968,蓝焰控股,个股
sz.000969,安泰科技,个股
sz.000970,中科三环,个股
sz.000972,中基健康,个股
sz.000973,佛塑科技,个股
sz.000975,山金国际,个股
sz.000977,浪潮信息,个股
sz.000978,桂林旅游,个股
sz.000980,众泰汽车,个股
sz.000981,山子高科,个股
sz.000983,山西焦煤,个股
sz.000985,大庆华科,个股
sz.000987,越秀资本,个股
sz.000988,华工科技,个股
sz.000989,九芝堂,个股
sz.000990,诚志股份,个股
sz.000993,闽东电力,个股
sz.000995,皇台酒业,个股
sz.000997,新大陆,个股
sz.000998,隆平高科,个股
sz.000999,华润三九,个股
sz.001201,东瑞股份,个股
sz.001202,炬申股份,个股
sz.001203,大中矿业,个股
sz.001205,盛航股份,个股
sz.001206,依依股份,个股
sz.001207,联科科技,个股
sz.001208,华菱线缆,个股
sz.001209,洪兴股份,个股
sz.001210,金房能源,个股
sz.001211,双枪科技,个股
sz.001212,中旗新材,个股
sz.001213,中铁特货,个股
sz.001215,千味央厨,个股
sz.001216,华瓷股份,个股
sz.001217,华尔泰,个股
sz.001218,丽臣实业,个股
sz.001219,青岛食品,个股
sz.001220,世盟股份,个股
sz.001221,悍高集团,个股
sz.001222,源飞宠物,个股
sz.001223,欧克科技,个股
sz.001225,和泰机电,个股
sz.001226,拓山重工,个股
sz.001227,兰州银行,个股
sz.001228,永泰运,个股
sz.001229,魅视科技,个股
sz.001230,劲旅环境,个股
sz.001231,农心科技,个股
sz.001233,海安集团,个股
sz.001234,泰慕士,个股
sz.001236,弘业期货,个股
sz.001237,惠康科技,个股
sz.001238,浙江正特,个股
sz.001239,永达股份,个股
sz.001248,华润新能源,个股
sz.001255,博菲电气,个股
sz.001256,炜冈科技,个股
sz.001257,盛龙股份,个股
sz.001258,立新能源,个股
sz.001259,利仁科技,个股
sz.001260,坤泰股份,个股
sz.001266,宏英智能,个股
sz.001267,汇绿生态,个股
sz.001268,联合精密,个股
sz.001269,欧晶科技,个股
sz.001270,铖昌科技,个股
sz.001277,速达股份,个股
sz.001278,一彬科技,个股
sz.001279,强邦新材,个股
sz.001280,中国铀业,个股
sz.001282,三联锻造,个股
sz.001283,豪鹏科技,个股
sz.001285,瑞立科密,个股
sz.001286,陕西能源,个股
sz.001287,中电港,个股
sz.001288,运机集团,个股
sz.001289,龙源电力,个股
sz.001296,长江材料,个股
sz.001298,好上好,个股
sz.001299,美能能源,个股
sz.001300,三柏硕,个股
sz.001301,尚太科技,个股
sz.001306,夏厦精密,个股
sz.001308,康冠科技,个股
sz.001309,德明利,个股
sz.001311,多利科技,个股
sz.001312,福恩股份,个股
sz.001313,粤海饲料,个股
sz.001314,亿道信息,个股
sz.001316,润贝航科,个股
sz.001317,三羊马,个股
sz.001318,阳光乳业,个股
sz.001319,铭科精技,个股
sz.001322,箭牌家居,个股
sz.001323,慕思股份,个股
sz.001324,长青科技,个股
sz.001325,元创股份,个股
sz.001326,联域股份,个股
sz.001328,登康口腔,个股
sz.001330,博纳影业,个股
sz.001331,胜通能源,个股
sz.001332,锡装股份,个股
sz.001333,光华股份,个股
sz.001335,信凯科技,个股
sz.001336,楚环科技,个股
sz.001337,四川黄金,个股
sz.001338,永顺泰,个股
sz.001339,智微智能,个股
sz.001356,富岭股份,个股
sz.001358,兴欣新材,个股
sz.001359,平安电工,个股
sz.001360,南矿集团,个股
sz.001365,天海电子,个股
sz.001366,播恩集团,个股
sz.001367,海森药业,个股
sz.001368,通达创智,个股
sz.001369,双欣材料,个股
sz.001373,翔腾新材,个股
sz.001376,百通能源,个股
sz.001378,德冠新材,个股
sz.001379,腾达科技,个股
sz.001380,华纬科技,个股
sz.001382,新亚电缆,个股
sz.001386,马可波罗,个股
sz.001387,雪祺电气,个股
sz.001388,信通电子,个股
sz.001389,广合科技,个股
sz.001390,古麒绒材,个股
sz.001391,国货航,个股
sz.001393,维通利,个股
sz.001395,亚联机械,个股
sz.001396,誉帆科技,个股
sz.001399,惠科股份,个股
sz.001400,江顺科技,个股
sz.001696,宗申动力,个股
sz.001872,招商港口,个股
sz.001896,豫能控股,个股
sz.001914,招商积余,个股
sz.001965,招商公路,个股
sz.001979,招商蛇口,个股
sz.002001,新和成,个股
sz.002003,伟星股份,个股
sz.002004,华邦健康,个股
sz.002005,ST德豪,个股
sz.002006,精工科技,个股
sz.002007,华兰生物,个股
sz.002008,大族激光,个股
sz.002009,天奇股份,个股
sz.002010,传化智联,个股
sz.002011,盾安环境,个股
sz.002012,凯恩股份,个股
sz.002014,永新股份,个股
sz.002015,协鑫能科,个股
sz.002016,世荣兆业,个股
sz.002017,东信和平,个股
sz.002019,亿帆医药,个股
sz.002020,京新药业,个股
sz.002021,中捷资源,个股
sz.002022,科华生物,个股
sz.002023,海特高新,个股
sz.002024,ST易购,个股
sz.002025,航天电器,个股
sz.002026,山东威达,个股
sz.002027,分众传媒,个股
sz.002028,思源电气,个股
sz.002029,七匹狼,个股
sz.002030,达安基因,个股
sz.002031,巨轮智能,个股
sz.002032,苏泊尔,个股
sz.002033,丽江股份,个股
sz.002034,旺能环境,个股
sz.002035,华帝股份,个股
sz.002036,联创电子,个股
sz.002037,保利联合,个股
sz.002038,双鹭药业,个股
sz.002039,黔源电力,个股
sz.002040,南京港,个股
sz.002041,登海种业,个股
sz.002042,华孚时尚,个股
sz.002043,兔宝宝,个股
sz.002044,美年健康,个股
sz.002045,国光电器,个股
sz.002046,国机精工,个股
sz.002047,宝鹰股份,个股
sz.002048,宁波华翔,个股
sz.002049,紫光国微,个股
sz.002050,三花智控,个股
sz.002051,中工国际,个股
sz.002052,同洲电子,个股
sz.002053,云南能投,个股
sz.002054,德美化工,个股
sz.002055,ST得润,个股
sz.002056,横店东磁,个股
sz.002057,中钢天源,个股
sz.002058,威尔泰,个股
sz.002059,云南旅游,个股
sz.002060,广东建工,个股
sz.002061,浙江交科,个股
sz.002062,宏润建设,个股
sz.002063,远光软件,个股
sz.002064,华峰化学,个股
sz.002065,东华软件,个股
sz.002066,瑞泰科技,个股
sz.002067,景兴纸业,个股
sz.002068,黑猫股份,个股
sz.002069,獐子岛,个股
sz.002072,凯瑞德,个股
sz.002073,软控股份,个股
sz.002074,国轩高科,个股
sz.002075,沙钢股份,个股
sz.002076,星光股份,个股
sz.002077,大港股份,个股
sz.002078,太阳纸业,个股
sz.002079,苏州固锝,个股
sz.002080,中材科技,个股
sz.002081,金螳螂,个股
sz.002082,ST万邦,个股
sz.002083,孚日股份,个股
sz.002084,海鸥住工,个股
sz.002085,万丰奥威,个股
sz.002086,东方海洋,个股
sz.002088,鲁阳节能,个股
sz.002090,金智科技,个股
sz.002091,江苏国泰,个股
sz.002092,中泰化学,个股
sz.002093,国脉科技,个股
sz.002094,青岛金王,个股
sz.002095,生意宝,个股
sz.002096,易普力,个股
sz.002097,山河智能,个股
sz.002098,浔兴股份,个股
sz.002099,海翔药业,个股
sz.002100,天康生物,个股
sz.002101,广东鸿图,个股
sz.002102,ST能特,个股
sz.002103,广博股份,个股
sz.002104,恒宝股份,个股
sz.002105,信隆健康,个股
sz.002106,莱宝高科,个股
sz.002107,沃华医药,个股
sz.002108,沧州明珠,个股
sz.002109,ST兴化,个股
sz.002110,三钢闽光,个股
sz.002111,威海广泰,个股
sz.002112,三变科技,个股
sz.002114,罗平锌电,个股
sz.002115,三维通信,个股
sz.002116,中国海诚,个股
sz.002117,东港股份,个股
sz.002119,康强电子,个股
sz.002120,韵达股份,个股
sz.002121,科陆电子,个股
sz.002122,ST汇洲,个股
sz.002123,梦网科技,个股
sz.002124,天邦食品,个股
sz.002125,湘潭电化,个股
sz.002126,银轮股份,个股
sz.002127,南极电商,个股
sz.002128,电投能源,个股
sz.002129,TCL中环,个股
sz.002130,沃尔核材,个股
sz.002131,利欧股份,个股
sz.002132,恒星科技,个股
sz.002133,广宇集团,个股
sz.002134,天津普林,个股
sz.002135,东南网架,个股
sz.002136,安纳达,个股
sz.002137,实益达,个股
sz.002138,顺络电子,个股
sz.002139,拓邦股份,个股
sz.002140,东华科技,个股
sz.002141,贤丰控股,个股
sz.002142,宁波银行,个股
sz.002144,宏达高科,个股
sz.002145,钛能化学,个股
sz.002146,荣盛发展,个股
sz.002148,北纬科技,个股
sz.002149,西部材料,个股
sz.002150,正泰电源,个股
sz.002151,北斗星通,个股
sz.002152,广电运通,个股
sz.002153,石基信息,个股
sz.002154,报喜鸟,个股
sz.002155,湖南黄金,个股
sz.002156,通富微电,个股
sz.002157,正邦科技,个股
sz.002158,汉钟精机,个股
sz.002159,三特索道,个股
sz.002160,常铝股份,个股
sz.002161,远望谷,个股
sz.002162,悦心健康,个股
sz.002163,海南发展,个股
sz.002164,宁波东力,个股
sz.002165,红宝丽,个股
sz.002166,莱茵生物,个股
sz.002167,东方锆业,个股
sz.002168,ST惠程,个股
sz.002169,智光电气,个股
sz.002170,芭田股份,个股
sz.002171,楚江新材,个股
sz.002172,澳洋健康,个股
sz.002173,创新医疗,个股
sz.002174,游族网络,个股
sz.002175,*ST东智,个股
sz.002176,江特电机,个股
sz.002177,御银股份,个股
sz.002178,延华智能,个股
sz.002179,中航光电,个股
sz.002180,奔图科技,个股
sz.002181,粤传媒,个股
sz.002182,宝武镁业,个股
sz.002183,怡亚通,个股
sz.002184,海得控制,个股
sz.002185,华天科技,个股
sz.002186,全聚德,个股
sz.002187,广百股份,个股
sz.002188,中天服务,个股
sz.002189,中光学,个股
sz.002190,成飞集成,个股
sz.002191,劲嘉股份,个股
sz.002192,融捷股份,个股
sz.002193,ST如意,个股
sz.002194,武汉凡谷,个股
sz.002195,岩山科技,个股
sz.002196,方正电机,个股
sz.002197,证通电子,个股
sz.002198,ST嘉应,个股
sz.002199,*ST东晶,个股
sz.002200,交投生态,个股
sz.002201,九鼎新材,个股
sz.002202,金风科技,个股
sz.002203,海亮股份,个股
sz.002204,大连重工,个股
sz.002205,国统股份,个股
sz.002206,海利得,个股
sz.002207,*ST准油,个股
sz.002208,合肥城建,个股
sz.002209,达意隆,个股
sz.002210,飞马国际,个股
sz.002211,ST宏达,个股
sz.002212,天融信,个股
sz.002213,大为股份,个股
sz.002214,*ST大立,个股
sz.002215,诺普信,个股
sz.002216,三全食品,个股
sz.002217,ST合力泰,个股
sz.002218,拓日新能,个股
sz.002219,新里程,个股
sz.002221,东华能源,个股
sz.002222,福晶科技,个股
sz.002223,鱼跃医疗,个股
sz.002224,三力士,个股
sz.002225,濮耐股份,个股
sz.002226,江南化工,个股
sz.002227,*ST特迅,个股
sz.002228,合兴包装,个股
sz.002229,鸿博股份,个股
sz.002230,科大讯飞,个股
sz.002232,启明信息,个股
sz.002233,塔牌集团,个股
sz.002234,民和股份,个股
sz.002235,安妮股份,个股
sz.002236,大华股份,个股
sz.002237,恒邦股份,个股
sz.002238,天威视讯,个股
sz.002239,奥特佳,个股
sz.002240,盛新锂能,个股
sz.002241,歌尔股份,个股
sz.002242,九阳股份,个股
sz.002243,力合科创,个股
sz.002244,滨江集团,个股
sz.002245,蔚蓝锂芯,个股
sz.002246,北化股份,个股
sz.002247,聚力文化,个股
sz.002248,华东数控,个股
sz.002249,大洋电机,个股
sz.002250,联化科技,个股
sz.002251,步步高,个股
sz.002252,上海莱士,个股
sz.002253,川大智胜,个股
sz.002254,泰和新材,个股
sz.002255,海陆重工,个股
sz.002256,兆新股份,个股
sz.002258,利尔化学,个股
sz.002259,升达林业,个股
sz.002261,拓维信息,个股
sz.002262,恩华药业,个股
sz.002263,大东南,个股
sz.002264,新华都,个股
sz.002265,建设工业,个股
sz.002266,浙富控股,个股
sz.002267,陕天然气,个股
sz.002268,电科网安,个股
sz.002269,美邦服饰,个股
sz.002270,华明装备,个股
sz.002271,东方雨虹,个股
sz.002272,川润股份,个股
sz.002273,水晶光电,个股
sz.002274,华昌化工,个股
sz.002275,桂林三金,个股
sz.002276,万马股份,个股
sz.002277,友阿股份,个股
sz.002278,神开股份,个股
sz.002279,久其软件,个股
sz.002281,光迅科技,个股
sz.002282,博深股份,个股
sz.002283,天润工业,个股
sz.002284,亚太股份,个股
sz.002285,世联行,个股
sz.002286,保龄宝,个股
sz.002287,奇正藏药,个股
sz.002289,宇顺电子,个股
sz.002290,禾盛新材,个股
sz.002291,遥望科技,个股
sz.002292,奥飞娱乐,个股
sz.002293,罗莱生活,个股
sz.002294,信立泰,个股
sz.002295,精艺股份,个股
sz.002296,辉煌科技,个股
sz.002297,博云新材,个股
sz.002298,中电鑫龙,个股
sz.002299,圣农发展,个股
sz.002300,太阳电缆,个股
sz.002301,齐心集团,个股
sz.002302,西部建设,个股
sz.002303,美盈森,个股
sz.002304,洋河股份,个股
sz.002305,*ST南置,个股
sz.002306,ST云网,个股
sz.002307,北新路桥,个股
sz.002309,中利集团,个股
sz.002310,东方新能,个股
sz.002311,海大集团,个股
sz.002312,川发龙蟒,个股
sz.002313,日海智能,个股
sz.002314,南山控股,个股
sz.002315,焦点科技,个股
sz.002316,亚联发展,个股
sz.002317,众生药业,个股
sz.002318,久立特材,个股
sz.002319,乐通股份,个股
sz.002320,海峡股份,个股
sz.002321,华英农业,个股
sz.002322,理工能科,个股
sz.002323,*ST雅博,个股
sz.002324,普利特,个股
sz.002326,永太科技,个股
sz.002327,富安娜,个股
sz.002328,新朋股份,个股
sz.002329,皇氏集团,个股
sz.002330,得利斯,个股
sz.002331,皖通科技,个股
sz.002332,仙琚制药,个股
sz.002333,罗普斯金,个股
sz.002334,英威腾,个股
sz.002335,科华数据,个股
sz.002337,赛象科技,个股
sz.002338,奥普光电,个股
sz.002339,积成电子,个股
sz.002340,格林美,个股
sz.002342,巨力索具,个股
sz.002343,慈文传媒,个股
sz.002344,海宁皮城,个股
sz.002345,潮宏基,个股
sz.002346,柘中股份,个股
sz.002347,泰尔股份,个股
sz.002348,高乐股份,个股
sz.002349,精华制药,个股
sz.002350,北京科锐,个股
sz.002351,漫步者,个股
sz.002352,顺丰控股,个股
sz.002353,杰瑞股份,个股
sz.002354,天娱数科,个股
sz.002355,兴民智通,个股
sz.002356,赫美集团,个股
sz.002357,富临运业,个股
sz.002358,森源电气,个股
sz.002360,ST同德,个股
sz.002361,神剑股份,个股
sz.002362,汉王科技,个股
sz.002363,隆基机械,个股
sz.002364,中恒电气,个股
sz.002365,永安药业,个股
sz.002366,融发核电,个股
sz.002367,康力电梯,个股
sz.002368,太极股份,个股
sz.002369,卓翼科技,个股
sz.002370,亚太药业,个股
sz.002371,北方华创,个股
sz.002372,伟星新材,个股
sz.002373,千方科技,个股
sz.002374,中锐股份,个股
sz.002375,亚厦股份,个股
sz.002376,新北洋,个股
sz.002377,国创高新,个股
sz.002378,章源钨业,个股
sz.002379,宏桥控股,个股
sz.002380,科远智慧,个股
sz.002381,双箭股份,个股
sz.002382,蓝帆医疗,个股
sz.002383,合众思壮,个股
sz.002384,东山精密,个股
sz.002385,大北农,个股
sz.002386,天原股份,个股
sz.002387,维信诺,个股
sz.002388,新亚制程,个股
sz.002389,航天彩虹,个股
sz.002390,信邦制药,个股
sz.002391,长青股份,个股
sz.002392,北京利尔,个股
sz.002393,力生制药,个股
sz.002394,联发股份,个股
sz.002395,双象股份,个股
sz.002396,星网锐捷,个股
sz.002397,梦洁股份,个股
sz.002398,垒知集团,个股
sz.002399,海普瑞,个股
sz.002400,省广集团,个股
sz.002401,中远海科,个股
sz.002402,和而泰,个股
sz.002403,爱仕达,个股
sz.002404,嘉欣丝绸,个股
sz.002405,四维图新,个股
sz.002406,远东传动,个股
sz.002407,多氟多,个股
sz.002408,齐翔腾达,个股
sz.002409,雅克科技,个股
sz.002410,广联达,个股
sz.002412,汉森制药,个股
sz.002413,雷科防务,个股
sz.002414,高德红外,个股
sz.002415,海康威视,个股
sz.002416,爱施德,个股
sz.002418,康盛股份,个股
sz.002419,天虹股份,个股
sz.002420,毅昌科技,个股
sz.002421,达实智能,个股
sz.002422,科伦药业,个股
sz.002423,中粮资本,个股
sz.002424,ST百灵,个股
sz.002425,凯撒文化,个股
sz.002426,胜利精密,个股
sz.002427,尤夫股份,个股
sz.002428,云南锗业,个股
sz.002429,兆驰股份,个股
sz.002430,杭氧股份,个股
sz.002431,ST棕榈,个股
sz.002432,九安医疗,个股
sz.002434,万里扬,个股
sz.002436,兴森科技,个股
sz.002437,誉衡药业,个股
sz.002438,江苏神通,个股
sz.002439,启明星辰,个股
sz.002440,闰土股份,个股
sz.002441,众业达,个股
sz.002442,龙星科技,个股
sz.002443,金洲管道,个股
sz.002444,巨星科技,个股
sz.002445,中南文化,个股
sz.002446,盛路通信,个股
sz.002448,中原内配,个股
sz.002449,国星光电,个股
sz.002451,摩恩电气,个股
sz.002452,长高电气,个股
sz.002453,华软科技,个股
sz.002454,松芝股份,个股
sz.002455,百川股份,个股
sz.002456,欧菲光,个股
sz.002457,青龙管业,个股
sz.002458,益生股份,个股
sz.002459,晶澳科技,个股
sz.002460,赣锋锂业,个股
sz.002461,珠江啤酒,个股
sz.002462,嘉事堂,个股
sz.002463,沪电股份,个股
sz.002465,海格通信,个股
sz.002466,天齐锂业,个股
sz.002467,二六三,个股
sz.002468,申通快递,个股
sz.002469,三维化学,个股
sz.002470,金正大,个股
sz.002471,中超控股,个股
sz.002472,双环传动,个股
sz.002474,榕基软件,个股
sz.002475,立讯精密,个股
sz.002476,新叶股份,个股
sz.002478,常宝股份,个股
sz.002479,富春环保,个股
sz.002480,新筑股份,个股
sz.002481,双塔食品,个股
sz.002482,广田集团,个股
sz.002483,润邦股份,个股
sz.002484,江海股份,个股
sz.002485,ST雪发,个股
sz.002486,嘉麟杰,个股
sz.002487,大金重工,个股
sz.002488,金固股份,个股
sz.002489,浙江永强,个股
sz.002490,山东墨龙,个股
sz.002491,通鼎互联,个股
sz.002492,恒基达鑫,个股
sz.002493,荣盛石化,个股
sz.002494,华斯股份,个股
sz.002495,佳隆股份,个股
sz.002496,辉丰股份,个股
sz.002497,雅化集团,个股
sz.002498,汉缆股份,个股
sz.002500,山西证券,个股
sz.002501,*ST利源,个股
sz.002506,协鑫集成,个股
sz.002507,涪陵榨菜,个股
sz.002508,老板电器,个股
sz.002510,天汽模,个股
sz.002511,中顺洁柔,个股
sz.002512,ST达华,个股
sz.002513,蓝丰生化,个股
sz.002514,*ST宝馨,个股
sz.002515,金字火腿,个股
sz.002516,旷达科技,个股
sz.002517,恺英网络,个股
sz.002518,科士达,个股
sz.002519,银河电子,个股
sz.002520,日发精机,个股
sz.002521,齐峰新材,个股
sz.002522,浙江众成,个股
sz.002523,天桥起重,个股
sz.002524,光正眼科,个股
sz.002526,山东矿机,个股
sz.002527,新时达,个股
sz.002528,*ST英飞,个股
sz.002529,海源复材,个股
sz.002530,金财互联,个股
sz.002531,天顺风能,个股
sz.002532,天山铝业,个股
sz.002533,金杯电工,个股
sz.002534,西子洁能,个股
sz.002535,林州重机,个股
sz.002536,飞龙股份,个股
sz.002537,海联金汇,个股
sz.002538,ST司特,个股
sz.002539,云图控股,个股
sz.002540,亚太科技,个股
sz.002541,鸿路钢构,个股
sz.002542,*ST中岩,个股
sz.002543,万和电气,个股
sz.002544,普天科技,个股
sz.002545,东方铁塔,个股
sz.002546,新联电子,个股
sz.002547,*ST春兴,个股
sz.002548,金新农,个股
sz.002549,凯美特气,个股
sz.002550,千红制药,个股
sz.002551,尚荣医疗,个股
sz.002552,宝鼎科技,个股
sz.002553,南方精工,个股
sz.002554,惠博普,个股
sz.002555,三七互娱,个股
sz.002556,辉隆股份,个股
sz.002557,洽洽食品,个股
sz.002558,巨人网络,个股
sz.002559,亚威股份,个股
sz.002560,通达股份,个股
sz.002561,徐家汇,个股
sz.002562,兄弟科技,个股
sz.002563,森马服饰,个股
sz.002564,天沃科技,个股
sz.002565,顺灏股份,个股
sz.002566,益盛药业,个股
sz.002567,唐人神,个股
sz.002568,百润股份,个股
sz.002569,*ST步森,个股
sz.002570,贝因美,个股
sz.002571,德力股份,个股
sz.002572,索菲亚,个股
sz.002573,清新环境,个股
sz.002574,明牌珠宝,个股
sz.002575,群兴玩具,个股
sz.002576,通达动力,个股
sz.002577,雷柏科技,个股
sz.002578,闽发铝业,个股
sz.002579,中京电子,个股
sz.002580,圣阳股份,个股
sz.002581,*ST未名,个股
sz.002582,好想你,个股
sz.002583,海能达,个股
sz.002584,西陇科学,个股
sz.002585,双星新材,个股
sz.002586,ST围海,个股
sz.002587,奥拓电子,个股
sz.002588,史丹利,个股
sz.002589,瑞康医药,个股
sz.002590,万安科技,个股
sz.002591,恒大高新,个股
sz.002592,ST八菱,个股
sz.002593,日上集团,个股
sz.002594,比亚迪,个股
sz.002595,豪迈科技,个股
sz.002596,海南瑞泽,个股
sz.002597,金禾实业,个股
sz.002598,ST章鼓,个股
sz.002599,盛通股份,个股
sz.002600,领益智造,个股
sz.002601,龙佰集团,个股
sz.002602,世纪华通,个股
sz.002603,以岭药业,个股
sz.002605,姚记科技,个股
sz.002606,大连电瓷,个股
sz.002607,中公教育,个股
sz.002608,江苏国信,个股
sz.002609,捷顺科技,个股
sz.002611,东方精工,个股
sz.002612,朗姿股份,个股
sz.002613,北玻股份,个股
sz.002614,奥佳华,个股
sz.002615,哈尔斯,个股
sz.002616,长青集团,个股
sz.002617,露笑科技,个股
sz.002620,*ST瑞和,个股
sz.002622,皓宸医疗,个股
sz.002623,亚玛顿,个股
sz.002624,完美世界,个股
sz.002625,光启技术,个股
sz.002626,金达威,个股
sz.002627,三峡旅游,个股
sz.002628,成都路桥,个股
sz.002629,仁智股份,个股
sz.002630,*ST华西,个股
sz.002631,德尔未来,个股
sz.002632,道明光学,个股
sz.002633,申科股份,个股
sz.002634,*ST棒杰,个股
sz.002635,安洁科技,个股
sz.002636,金安国纪,个股
sz.002637,赞宇科技,个股
sz.002638,勤上股份,个股
sz.002639,雪人集团,个股
sz.002640,跨境通,个股
sz.002641,公元股份,个股
sz.002642,荣联科技,个股
sz.002643,万润股份,个股
sz.002644,佛慈制药,个股
sz.002645,华宏科技,个股
sz.002646,天佑德酒,个股
sz.002647,仁东控股,个股
sz.002648,卫星化学,个股
sz.002649,博彦科技,个股
sz.002650,ST加加,个股
sz.002651,利君股份,个股
sz.002652,扬子新材,个股
sz.002653,海思科,个股
sz.002654,万润科技,个股
sz.002655,共达电声,个股
sz.002656,*ST摩登,个股
sz.002657,中科金财,个股
sz.002658,雪迪龙,个股
sz.002659,凯文教育,个股
sz.002660,茂硕电源,个股
sz.002661,克明食品,个股
sz.002662,峰璟股份,个股
sz.002663,普邦股份,个股
sz.002664,信质集团,个股
sz.002666,德联集团,个股
sz.002667,*ST威领,个股
sz.002668,TCL智家,个股
sz.002669,康达新材,个股
sz.002670,国盛证券,个股
sz.002671,龙泉股份,个股
sz.002672,东江环保,个股
sz.002673,西部证券,个股
sz.002674,兴业科技,个股
sz.002675,东诚药业,个股
sz.002676,顺威股份,个股
sz.002677,浙江美大,个股
sz.002678,珠江钢琴,个股
sz.002679,福建金森,个股
sz.002681,奋达科技,个股
sz.002682,龙洲股份,个股
sz.002683,广东宏大,个股
sz.002685,华东重机,个股
sz.002686,亿利达,个股
sz.002687,乔治白,个股
sz.002688,金河生物,个股
sz.002689,ST远智,个股
sz.002690,美亚光电,个股
sz.002691,*ST冀凯,个股
sz.002692,远程股份,个股
sz.002693,双成药业,个股
sz.002694,*ST顾地,个股
sz.002695,煌上煌,个股
sz.002696,百洋股份,个股
sz.002697,红旗连锁,个股
sz.002698,博实股份,个股
sz.002700,万憬能源,个股
sz.002701,奥瑞金,个股
sz.002702,海欣食品,个股
sz.002703,浙江世宝,个股
sz.002705,新宝股份,个股
sz.002706,良信股份,个股
sz.002707,众信旅游,个股
sz.002708,光洋股份,个股
sz.002709,天赐材料,个股
sz.002712,思美传媒,个股
sz.002713,*ST东易,个股
sz.002714,牧原股份,个股
sz.002715,登云股份,个股
sz.002716,湖南白银,个股
sz.002717,*ST岭南,个股
sz.002718,友邦吊顶,个股
sz.002719,ST麦趣,个股
sz.002721,金一文化,个股
sz.002722,物产金轮,个股
sz.002723,小崧股份,个股
sz.002724,海洋王,个股
sz.002725,跃岭股份,个股
sz.002726,ST龙大,个股
sz.002727,一心堂,个股
sz.002728,特一药业,个股
sz.002730,电光科技,个股
sz.002732,燕塘乳业,个股
sz.002733,雄韬股份,个股
sz.002734,利民股份,个股
sz.002735,王子新材,个股
sz.002736,国信证券,个股
sz.002737,葵花药业,个股
sz.002738,中矿资源,个股
sz.002739,儒意电影,个股
sz.002741,光华科技,个股
sz.002742,冀衡医药,个股
sz.002743,富煌钢构,个股
sz.002745,木林森,个股
sz.002746,仙坛股份,个股
sz.002747,埃斯顿,个股
sz.002748,世龙实业,个股
sz.002749,国光股份,个股
sz.002752,昇兴股份,个股
sz.002753,永东股份,个股
sz.002755,奥赛康,个股
sz.002756,永兴材料,个股
sz.002757,南兴股份,个股
sz.002758,浙农股份,个股
sz.002759,天际股份,个股
sz.002760,凤形股份,个股
sz.002761,浙江建投,个股
sz.002762,金发拉比,个股
sz.002763,汇洁股份,个股
sz.002765,蓝黛科技,个股
sz.002766,索菱股份,个股
sz.002767,先锋电子,个股
sz.002768,国恩股份,个股
sz.002769,普路通,个股
sz.002771,真视通,个股
sz.002772,众兴菌业,个股
sz.002773,康弘药业,个股
sz.002774,快意电梯,个股
sz.002775,文科股份,个股
sz.002777,久远银海,个股
sz.002778,中晟高科,个股
sz.002779,中坚科技,个股
sz.002780,三夫户外,个股
sz.002782,可立克,个股
sz.002783,凯龙股份,个股
sz.002785,万里石,个股
sz.002786,银宝山新,个股
sz.002787,华源控股,个股
sz.002788,鹭燕医药,个股
sz.002789,*ST建艺,个股
sz.002790,瑞尔特,个股
sz.002791,坚朗五金,个股
sz.002792,通宇通讯,个股
sz.002793,罗欣药业,个股
sz.002795,永和智控,个股
sz.002796,世嘉科技,个股
sz.002797,第一创业,个股
sz.002798,帝欧水华,个股
sz.002799,环球印务,个股
sz.002800,天顺股份,个股
sz.002801,微光股份,个股
sz.002802,洪汇新材,个股
sz.002803,吉宏股份,个股
sz.002805,丰元股份,个股
sz.002806,华锋股份,个股
sz.002807,江阴银行,个股
sz.002808,恒久退,个股
sz.002809,红墙股份,个股
sz.002810,山东赫达,个股
sz.002811,郑中设计,个股
sz.002812,恩捷股份,个股
sz.002813,路畅科技,个股
sz.002815,崇达技术,个股
sz.002816,*ST和科,个股
sz.002817,黄山胶囊,个股
sz.002818,富森美,个股
sz.002819,东方中科,个股
sz.002820,桂发祥,个股
sz.002821,凯莱英,个股
sz.002822,ST中装,个股
sz.002823,凯中精密,个股
sz.002824,和胜股份,个股
sz.002825,纳尔股份,个股
sz.002826,易明医药,个股
sz.002827,高争民爆,个股
sz.002828,贝肯能源,个股
sz.002829,星网宇达,个股
sz.002830,名雕股份,个股
sz.002831,裕同科技,个股
sz.002832,比音勒芬,个股
sz.002833,弘亚数控,个股
sz.002835,同为股份,个股
sz.002836,新宏泽,个股
sz.002837,英维克,个股
sz.002838,道恩股份,个股
sz.002839,张家港行,个股
sz.002840,华统股份,个股
sz.002841,视源股份,个股
sz.002842,翔鹭钨业,个股
sz.002843,泰嘉股份,个股
